name,port_code,shipment_type_name,country_country_code
Andorra La Vella H/P,ALV,Air,AD
Abu Dhabi Intl,AUH,Air,AE
Al Dhafra Military Apt,DHF,Air,AE
Bateen,AZI,Air,AE
Al Ain,AAN,Air,AE
Fujairah Intl Arpt,FJR,Air,AE
Dubai,DXB,Air,AE
Military Airport,NHD,Air,AE
Ras Al Khaimah,RKT,Air,AE
Sharjah,SHJ,Air,AE
Bamiyan,BIN,Air,AF
Bost,BST,Air,AF
Chakcharan,CCN,Air,AF
Darwaz,DAZ,Air,AF
Faizabad,FBD,Air,AF
Farah,FAH,Air,AF
Gardez,GRG,Air,AF
Ghazni,GZI,Air,AF
Herat,HEA,Air,AF
Jalalabad,JAA,Air,AF
Khwaja Rawash,KBL,Air,AF
Kandahar,KDH,Air,AF
Khost,KHT,Air,AF
Khwahan,KWH,Air,AF
Kunduz,UND,Air,AF
Kuran-O-Munjan,KUR,Air,AF
Maimana,MMZ,Air,AF
Mazar-I-Sharif,MZR,Air,AF
Nimroz,IMZ,Air,AF
Qala Nau,LQN,Air,AF
Sardeh Band,SBF,Air,AF
Sheghnan,SGA,Air,AF
Taluqan,TQN,Air,AF
Tirinkot,TII,Air,AF
Urgoon,URN,Air,AF
Uruzgan,URZ,Air,AF
Zaranj,ZAJ,Air,AF
V.C. Bird Intl,ANU,Air,AG
Barbuda,BBQ,Air,AG
Wallblake,AXA,Air,AI
Rinas,TIA,Air,AL
Gyoumri,LWN,Air,AM
Yerevan,EVN,Air,AM
Flamingo International,BON,Air,AN
Hato International Airport,CUR,Air,AN
J. Yrausquin,SAB,Air,AN
F D Roosevelt,EUX,Air,AN
Princess Juliana,SXM,Air,AN
Ambriz,AZZ,Air,AO
Andulo,ANL,Air,AO
Gen V Deslandes,BUG,Air,AO
Cabinda,CAB,Air,AO
Cafunfo,CFF,Air,AO
Cangamba,CNZ,Air,AO
Capanda,KNP,Air,AO
Catumbela,CBT,Air,AO
Cazombo,CAV,Air,AO
Chitato,PGI,Air,AO
Cuito Cuanavale,CTI,Air,AO
Dirico,DRC,Air,AO
Dundo,DUE,Air,AO
Huambo,NOV,Air,AO
Jamba,JMB,Air,AO
Kuito (Silva Porto),SVP,Air,AO
4 de Fevereiro,LAD,Air,AO
Luau,UAL,Air,AO
Lubango,SDD,Air,AO
Luena,LUO,Air,AO
Lukapa,LBZ,Air,AO
Lumbala,GGC,Air,AO
Luzamba,LZM,Air,AO
Malange,MEG,Air,AO
Menongue,SPP,Air,AO
Namibe,MSZ,Air,AO
Ndalatandos,NDF,Air,AO
Negage,GXG,Air,AO
Ngiva,NGV,Air,AO
Nzagi,NZA,Air,AO
Ongiva,VPE,Air,AO
Porto Amboim,PBN,Air,AO
Saurimo,VHC,Air,AO
Soyo,SZA,Air,AO
Sumbe,NDD,Air,AO
Uige,UGO,Air,AO
Waco Kungo,CEO,Air,AO
Xangongo,XGN,Air,AO
Teniente R. Marsh,TNM,Air,AQ
Alto Rio Senguerr,ARR,Air,AR
Comandante,BHI,Air,AR
Arpt. Jorge Newbery,AEP,Air,AR
Ezeiza Ministro Pistarini,EZE,Air,AR
Caleta Olivia,CVI,Air,AR
Carmen De Patagones,CPG,Air,AR
Catamarca,CTC,Air,AR
Caviahue,CVH,Air,AR
Ceres,CRR,Air,AR
Charata,CNT,Air,AR
Oscar Reguera,HOS,Air,AR
Clorinda,CLX,Air,AR
Colonia Catriel,CCT,Air,AR
Colonia Sarmiento,OLN,Air,AR
Comodoro Rivadavia,CRD,Air,AR
Concordia,COC,Air,AR
Pajas Blancas,COR,Air,AR
Brigadier Hector Ruiz,CSZ,Air,AR
Camba Punta,CNQ,Air,AR
Curuzu Cuatia,UZU,Air,AR
Cutral,CUT,Air,AR
El Bolson,EHL,Air,AR
El Calafate,FTE,Air,AR
El Maiten,EMX,Air,AR
El Palomar,EPA,Air,AR
Eldorado,ELO,Air,AR
Esquel,EQS,Air,AR
El Pucu,FMA,Air,AR
General Pico,GPO,Air,AR
General Roca,GNR,Air,AR
General Villegas,VGS,Air,AR
Gobernador Gregores,GGS,Air,AR
Goya,OYA,Air,AR
Gualeguaychu,GHU,Air,AR
Cataratas,IGR,Air,AR
Ingeniero Jacobacci,IGB,Air,AR
Jose De San Martin,JSM,Air,AR
El Cadillal,JUJ,Air,AR
Junin,JNI,Air,AR
La Cumbre,LCM,Air,AR
La Plata,LPG,Air,AR
La Rioja,IRJ,Air,AR
Lago Argentino,ING,Air,AR
Las Heras,LHS,Air,AR
Las Lomitas,LLS,Air,AR
Loncopue,LCP,Air,AR
Los Menucos,LMD,Air,AR
Malargue,LGS,Air,AR
Maquinchao,MQD,Air,AR
Mar Del Plata,MDQ,Air,AR
El Plumerillo,MDZ,Air,AR
Mercedes,MDX,Air,AR
Valle Del Conlara,RLO,Air,AR
Miramar,MJR,Air,AR
Monte Caseros,MCS,Air,AR
Necochea,NEC,Air,AR
Neuquen,NQN,Air,AR
Olavarria,OVR,Air,AR
Oran,ORA,Air,AR
Parana,PRA,Air,AR
Paso De Los Libres,AOL,Air,AR
Pehuajo,PEH,Air,AR
Perito Moreno,PMQ,Air,AR
Posadas,PSS,Air,AR
Pres. Roque Saenz Pena,PRQ,Air,AR
Puerto Deseado,PUD,Air,AR
El Tehuelche,PMY,Air,AR
Reconquista,RCQ,Air,AR
Resistencia,RES,Air,AR
Rincon de los Sauces,RDS,Air,AR
Rio Cuarto,RCU,Air,AR
Internacional,RGL,Air,AR
Rio Grande,RGA,Air,AR
Rio Hondo,RHD,Air,AR
Rio Mayo,ROY,Air,AR
Rio Turbio,RYO,Air,AR
Fisherton,ROS,Air,AR
Saenz Pena,SZQ,Air,AR
Gen Belgrano,SLA,Air,AR
San Antonio Oeste,OES,Air,AR
International,BRC,Air,AR
San Juan,UAQ,Air,AR
San Julian,ULA,Air,AR
San Luis,LUQ,Air,AR
Chapelco,CPC,Air,AR
San Rafael,AFA,Air,AR
Santa Cruz,RZA,Air,AR
Santa Fe,SFN,Air,AR
Santa Rosa,RSA,Air,AR
Santa Teresita,SST,Air,AR
Santiago Del Estero,SDE,Air,AR
Sierra Grande,SGV,Air,AR
Tandil,TDL,Air,AR
Tartagal,TTG,Air,AR
Trelew,REL,Air,AR
Tres Arroyos,OYO,Air,AR
