name,port_code,shipment_type_name,country_country_code
Bamiyan,BIN,Air,AD
Bost,BST,Air,AE
Chakcharan,CCN,Air,AE
Darwaz,DAZ,Air,AE
Faizabad,FBD,Air,AE
Farah,FAH,Air,AE
Gardez,GRG,Air,AE
Ghazni,GZI,Air,AE
Herat,HEA,Air,AE
Jalalabad,JAA,Air,AE
Khwaja Rawash,KBL,Air,AF
Kandahar,KDH,Air,AF
Khost,KHT,Air,AF
Khwahan,KWH,Air,AF
Kunduz,UND,Air,AF
Kuran-O-Munjan,KUR,Air,AF
Maimana,MMZ,Air,AF
Mazar-I-Sharif,MZR,Air,AF
Nimroz,IMZ,Air,AF
Qala Nau,LQN,Air,AF
Sardeh Band,SBF,Air,AF
Sheghnan,SGA,Air,AF
Taluqan,TQN,Air,AF
Tirinkot,TII,Air,AF
Urgoon,URN,Air,AF
Uruzgan,URZ,Air,AF
Zaranj,ZAJ,Air,AF
Rinas,TIA,Air,AF
Adrar,AZR,Air,AF
Houari Boumediene,ALG,Air,AF
Les Salines,AAE,Air,AF
Batna,BLJ,Air,AF
Leger,CBH,Air,AF
Bejaia,BJA,Air,AF
Biskra,BSK,Air,AF
Bordj Badji Mokhtar,BMW,Air,AF
Ain Eddis,BUJ,Air,AF
Abou Bakr Belkaid,CFK,Air,AG
Ain El Bey,CZL,Air,AG
Inedbirenne,DJG,Air,AI
El Golea,ELG,Air,AL
Guemar,ELU,Air,AM
Gara Djebilet,GBB,Air,AM
Noumerate,GHA,Air,AN
Oued Irara Apt,HME,Air,AN
Illizi,VVZ,Air,AN
In Amenas,IAM,Air,AN
In Guezzam,INF,Air,AN
In Salah,INZ,Air,AO
Jijel,GJL,Air,AO
Kouba,KDF,Air,AO
Mascara,MUW,Air,AO
Mechria,MZW,Air,AO
Mostaganem,MQV,Air,AO
Es Senia,ORN,Air,AO
Tafaraoui,TAF,Air,AO
Ain Beida,OGX,Air,AO
Setif,QSF,Air,AO
Sidi Belabbes,BFW,Air,AO
Skikda,SKI,Air,AO
Aguemar,TMR,Air,AO
Tbessa,TEE,Air,AO
Bouchekif,TID,Air,AO
Timimoun,TMX,Air,AO
Tindouf,TIN,Air,AO
Zenata,TLM,Air,AO
Touggourt,TGR,Air,AO
Oakland,CTQ,Air,AO
Fitiuta,FTI,Air,AO
Ofu,OFU,Air,AO
International,PPG,Air,AO
Tau,TAV,Air,AO
Ambriz,AZZ,Air,AO
Andulo,ANL,Air,AO
Gen V Deslandes,BUG,Air,AO
Cabinda,CAB,Air,AO
Cafunfo,CFF,Air,AO
Cangamba,CNZ,Air,AO
Capanda,KNP,Air,AO
Catumbela,CBT,Air,AO
Cazombo,CAV,Air,AO
Chitato,PGI,Air,AO
Cuito Cuanavale,CTI,Air,AO
Dirico,DRC,Air,AO
Dundo,DUE,Air,AO
Huambo,NOV,Air,AO
Jamba,JMB,Air,AQ
Kuito (Silva Porto),SVP,Air,AR
4 de Fevereiro,LAD,Air,AR
Luau,UAL,Air,AR
Lubango,SDD,Air,AR
Luena,LUO,Air,AR
Lukapa,LBZ,Air,AR
Lumbala,GGC,Air,AR
Luzamba,LZM,Air,AR
Malange,MEG,Air,AR
Menongue,SPP,Air,AR
Namibe,MSZ,Air,AR
Ndalatandos,NDF,Air,AR
Negage,GXG,Air,AR
Ngiva,NGV,Air,AR
Nzagi,NZA,Air,AR
Ongiva,VPE,Air,AR
Porto Amboim,PBN,Air,AR
Saurimo,VHC,Air,AR
Soyo,SZA,Air,AR
Sumbe,NDD,Air,AR
Uige,UGO,Air,AR
Waco Kungo,CEO,Air,AR
Xangongo,XGN,Air,AR
Wallblake,AXA,Air,AR
V.C. Bird Intl,ANU,Air,AR
Barbuda,BBQ,Air,AR
Alto Rio Senguerr,ARR,Air,AR
Comandante,BHI,Air,AR
Arpt. Jorge Newbery,AEP,Air,AR
Ezeiza Ministro Pistarini,EZE,Air,AR
Caleta Olivia,CVI,Air,AR
Carmen De Patagones,CPG,Air,AR
Catamarca,CTC,Air,AR
Caviahue,CVH,Air,AR
Ceres,CRR,Air,AR
Charata,CNT,Air,AR
Oscar Reguera,HOS,Air,AR
Clorinda,CLX,Air,AR
Colonia Catriel,CCT,Air,AR
Colonia Sarmiento,OLN,Air,AR
Comodoro Rivadavia,CRD,Air,AR
Concordia,COC,Air,AR
Pajas Blancas,COR,Air,AR
Brigadier Hector Ruiz,CSZ,Air,AR
Camba Punta,CNQ,Air,AR
Curuzu Cuatia,UZU,Air,AR
Cutral,CUT,Air,AR
El Bolson,EHL,Air,AR
El Calafate,FTE,Air,AR
El Maiten,EMX,Air,AR
El Palomar,EPA,Air,AR
Eldorado,ELO,Air,AR
Esquel,EQS,Air,AR
El Pucu,FMA,Air,AR
General Pico,GPO,Air,AR
General Roca,GNR,Air,AR
General Villegas,VGS,Air,AR
Gobernador Gregores,GGS,Air,AR
Goya,OYA,Air,AR
Gualeguaychu,GHU,Air,AR
Cataratas,IGR,Air,AR
Ingeniero Jacobacci,IGB,Air,AR
Jose De San Martin,JSM,Air,AR
El Cadillal,JUJ,Air,AR
Junin,JNI,Air,AR
La Cumbre,LCM,Air,AR
La Plata,LPG,Air,AR
La Rioja,IRJ,Air,AR
Lago Argentino,ING,Air,AR
Las Heras,LHS,Air,AR
Las Lomitas,LLS,Air,AR
Loncopue,LCP,Air,AR
Los Menucos,LMD,Air,AR
Malargue,LGS,Air,AR
Maquinchao,MQD,Air,AR
Mar Del Plata,MDQ,Air,AR
El Plumerillo,MDZ,Air,AR
Mercedes,MDX,Air,AR
Valle Del Conlara,RLO,Air,AR
Miramar,MJR,Air,AR
Monte Caseros,MCS,Air,AR
Necochea,NEC,Air,AR
