id,name,port_code,shipment_type_name,country_country_code
,Abu Dhabi,AUH,Ocean,AE
,Abudhabikhalifa,KHL,Ocean,AE
,Al Fujairah,FJR,Ocean,AE
,Dubai,DXB,Ocean,AE
,Jebelali,JE4,Ocean,AE
,Jebelali,JE3,Ocean,AE
,Jebelali,JEA,Ocean,AE
,Jebelali,JAL,Ocean,AE
,Jebelali,JE2,Ocean,AE
,Jebelali,JE1,Ocean,AE
,Khor Al Fakkan,KLF,Ocean,AE
,Mina Qaboos,MQA,Ocean,AE
,Sharjah,SHJ,Ocean,AE
,Aruba,AUA,Ocean,AN
,Curacao,CUR,Ocean,AN
,Lobito,LOB,Ocean,AO
,Luanda,LAD,Ocean,AO
,Buenos Aires,BUE,Ocean,AR
,Pago Pago,PPG,Ocean,AS
,Adelaide,ADL,Ocean,AU
,Albany,ALH,Ocean,AU
,Bellbay,BEL,Ocean,AU
,Brisbane,BNE,Ocean,AU
,Broome,BME,Ocean,AU
,Burnie,BUR,Ocean,AU
,Cairns,CNS,Ocean,AU
,Darwin,DRW,Ocean,AU
,Devonport,DPO,Ocean,AU
,Fremantle,FRE,Ocean,AU
,Geelong,GEX,Ocean,AU
,Hobart,HBA,Ocean,AU
,Launceston,LST,Ocean,AU
,Melbourne,MEL,Ocean,AU
,Newcastle,NTL,Ocean,AU
,Port Hedland,PHE,Ocean,AU
,Sydney,SYD,Ocean,AU
,Townsville,TSV,Ocean,AU
,Bahrain,KBS,Ocean,BA
,Bahrain,BAH,Ocean,BA
,Bridgetown,BGI,Ocean,BB
,Chalna,CHL,Ocean,BD
,Chittagong,CGP,Ocean,BD
,Mongla/Chalna,MON,Ocean,BD
,Antwerpen,ANR,Ocean,BE
,Gent,GNE,Ocean,BE
,Zeebrugge,ZEE,Ocean,BE
,Varna,VAR,Ocean,BG
,Bahrain,BAH,Ocean,BH
,Cotonou,COO,Ocean,BJ
,Brunei Town,BTN,Ocean,BN
,Seria,SER,Ocean,BN
,Brrsh,RSH,Ocean,BR
,Fortaleza,FOR,Ocean,BR
,Itaguai,IGI,Ocean,BR
,Itajai,ITJ,Ocean,BR
,Itaqui,ITQ,Ocean,BR
,Manaus,MAO,Ocean,BR
,Navegantes,NVT,Ocean,BR
,Paranagua,PNG,Ocean,BR
,Pecem,PEC,Ocean,BR
,Porto Alegre,POA,Ocean,BR
,Recife,REC,Ocean,BR
,Rio De Janeiro,RIO,Ocean,BR
,Rio Grande,RIG,Ocean,BR
,Salvador,SSA,Ocean,BR
,Santos,SSZ,Ocean,BR
,Sao Francisco,QFS,Ocean,BR
,Sepetiba,SPB,Ocean,BR
,Suape,SUA,Ocean,BR
,Vitoria,VIX,Ocean,BR
,Freeport,FPO,Ocean,BS
,Nassau,NAS,Ocean,BS
,Belize City,BZE,Ocean,BZ
,Edmonton,EDM,Ocean,CA
,Halifax,HAL,Ocean,CA
,Longbeach,LMN,Ocean,CA
,Montral,MTL,Ocean,CA
,Montreal,MTR,Ocean,CA
,Portland,PT1,Ocean,CA
,Quebec,QUE,Ocean,CA
,St Johns,SJE,Ocean,CA
,Toronto,TOR,Ocean,CA
,Vancouver,VA1,Ocean,CA
,Vancouver,VAN,Ocean,CA
,Vancouver,VCP,Ocean,CA
,Vancouver,VA4,Ocean,CA
,Vancouver,VA3,Ocean,CA
,Vancouver,YV1,Ocean,CA
,Vancouver,VA2,Ocean,CA
,Vancouver 1,YCR,Ocean,CA
,Vancouver 2,KCR,Ocean,CA
,Vancouver 3,VCR,Ocean,CA
,Vancouver4,VCJ,Ocean,CA
,Vancouver4,VTM,Ocean,CA
,Vancouvera,VAA,Ocean,CA
,Vancouverb,VAB,Ocean,CA
,Vancouverc,VAC,Ocean,CA
,Vancouverd,VAD,Ocean,CA
,Vancouvere,VAE,Ocean,CA
,Pointe Noire,PNR,Ocean,CG
,Chiwan,IWA,Ocean,CH
,Abidjan,ABJ,Ocean,CI
,Antofagasta,ANF,Ocean,CL
,Arica,ARI,Ocean,CL
,Iquique,IQQ,Ocean,CL
,Lirquen,LQN,Ocean,CL
,Mejillones,MJS,Ocean,CL
,Puartoangamos,PAG,Ocean,CL
,San Antonio,SAI,Ocean,CL
,San Antoonio,QTN,Ocean,CL
,Sanvincente,SVE,Ocean,CL
,Talcahuano,THO,Ocean,CL
,Valparaiso,VAP,Ocean,CL
,Douala,DLA,Ocean,CM
,Chiwan,CWN,Ocean,CN
,Dachanbay,DCB,Ocean,CN
,Dafeng,DFL,Ocean,CN
,Dafeng,DFE,Ocean,CN
,Dalian,DLC,Ocean,CN
,Fangcheng,FAN,Ocean,CN
,Fuqing,FUG,Ocean,CN
,Fuzhou,FOC,Ocean,CN
,Gznansha,GNS,Ocean,CN
,Huang Pu,HUA,Ocean,CN
,Huangpu,HUP,Ocean,CN
,Jintang,JIT,Ocean,CN
,Jinzhou,JNZ,Ocean,CN
,Lianyungang,LYG,Ocean,CN
,Longkou,LKU,Ocean,CN
,Nanjing,NKG,Ocean,CN
,Nanjing,CNJ,Ocean,CN
,Nansha,NNS,Ocean,CN
,Nansha,NSA,Ocean,CN
,Ningbo,NGB,Ocean,CN
,Ningbo,NBO,Ocean,CN
,Qingtao,TAO,Ocean,CN
,Qinhuangdao,QHA,Ocean,CN
,Quanzhou,QZJ,Ocean,CN
,Rizhao,RZH,Ocean,CN
,Shanghai,SH1,Ocean,CN
,Shanghai,SH2,Ocean,CN
,Shanghai,SHA,Ocean,CN
,Shanghai,SGH,Ocean,CN
,Shantou,SWA,Ocean,CN
,Shekou,SHK,Ocean,CN
,Shekou,SKO,Ocean,CN
,Shenzen,SZX,Ocean,CN
,Shidao,SHD,Ocean,CN
,Sku,SKU,Ocean,CN
,Taicang,TAG,Ocean,CN
,Tanggu,TGA,Ocean,CN
,Tianjin,TSN,Ocean,CN
,Vancouver,VAA,Ocean,CN
,Weifang,WFG,Ocean,CN
,Weihai,WEI,Ocean,CN
,Xiaman,XMN,Ocean,CN
,Xingang,XGG,Ocean,CN
,Xingang,TXG,Ocean,CN
,Xingang,XNG,Ocean,CN
,Xingang,TXG,Ocean,CN
,Xingang,XIN,Ocean,CN
,Xingang,XIG,Ocean,CN
,Xinggang,ZIN,Ocean,CN
,Yangsan,YAN,Ocean,CN
,Yangshan,SHY,Ocean,CN
,Yangtai,YAI,Ocean,CN
,Yantaichina,YNT,Ocean,CN
,Yantian China,YTN,Ocean,CN
,Yingkou,YIK,Ocean,CN
,Zhang Zhou,ZZU,Ocean,CN
,Zhang-Jia-Gang,CZG,Ocean,CN
,Zjangjagang,ZJG,Ocean,CN
,Barranquilla,BAQ,Ocean,CO
,Buenaventura,BUN,Ocean,CO
,Cartagena,CTG,Ocean,CO
,Santa Marta,SMR,Ocean,CO
,Port Caldera,PCD,Ocean,CR
,Puerpo Caldera,CAL,Ocean,CR
,Puerto Caldera,PLD,Ocean,CR
,Puntarenas,PAS,Ocean,CR
,Habana,HAV,Ocean,CU
,Famagusta,FMG,Ocean,CY
,Larnaca,LCA,Ocean,CY
,Limassol,LMS,Ocean,CY
,Willemstad,WIL,Ocean,CZ
,Rostock,RSK,Ocean,DE
,Bremerhaven,BRV,Ocean,DE
,Hamburg,HAM,Ocean,DE
,Harburg,HBU,Ocean,DE
,Husum,HUS,Ocean,DE
,Djibouti,JIB,Ocean,DJ
,Aalborg,AAL,Ocean,DK
,Aarhus,AAR,Ocean,DK
,Esbjerg,EBJ,Ocean,DK
,Kobenhavn,CPH,Ocean,DK
,Santo Domingo,DOM,Ocean,DO
,Santo Domingo,SDQ,Ocean,DO
,Annaba,AAE,Ocean,DZ
,Bejaia,BJA,Ocean,DZ
,Oran,ORN,Ocean,DZ
,Esmeraldas,ESM,Ocean,EC
,Guayaquil,GYE,Ocean,EC
,Adabiya,ADA,Ocean,EG
,Alexandria,ALY,Ocean,EG
,Damietta,DAM,Ocean,EG
,Eldekheila,EDK,Ocean,EG
,Manta,MEC,Ocean,EG
,Port Said,PSD,Ocean,EG
,Sokhna,SOK,Ocean,EG
,Sokhna,AIS,Ocean,EG
,Suez,SUZ,Ocean,EG
,Ucsam,UCS,Ocean,EG
,Algeciras,ALG,Ocean,ES
,Algmed,AMD,Ocean,ES
,Barcelona,BCN,Ocean,ES
,Bilbao,BIO,Ocean,ES
,Ceuta,CEU,Ocean,ES
,Las Palmas,LPA,Ocean,ES
,Malaga,AGP,Ocean,ES
,Melilla,MLN,Ocean,ES
,Palma De Mallorca,PMI,Ocean,ES
,Valencia,VLC,Ocean,ES
,Assab,ASA,Ocean,ET
,Helsinki,HEL,Ocean,FI
,Rauma,RAU,Ocean,FI
,Turku,TKU,Ocean,FI
,Lautoka,LTK,Ocean,FJ
,Su5,SU5,Ocean,FJ
,Suva,SUV,Ocean,FJ
,Bordeaux,BOD,Ocean,FR
,Cherbourg,CER,Ocean,FR
,Fos,FOS,Ocean,FR
,Lavera,LAV,Ocean,FR
,Le Havre,LEH,Ocean,FR
,Marseille,MRS,Ocean,FR
,Libreville,LBV,Ocean,GA
,Aberdeen,ABD,Ocean,GB
,Avonmouth,AVO,Ocean,GB
,Edinburgh,EDI,Ocean,GB
,Felixstowe,FXT,Ocean,GB
,Garston,GTN,Ocean,GB
,Glasgow,GLW,Ocean,GB
,Grangemouth,GRG,Ocean,GB
,Hartlepool,HTP,Ocean,GB
,Harwich,HRW,Ocean,GB
,Holyhead,HHD,Ocean,GB
,Hull,HUL,Ocean,GB
,Ipswich,IPS,Ocean,GB
,Leith,LEI,Ocean,GB
,Liverpool,LIV,Ocean,GB
,London,LON,Ocean,GB
,Manchester,MNC,Ocean,GB
,Newcastle Upon Tyne,NCL,Ocean,GB
,Portsmouth,PME,Ocean,GB
,Southampton,SOU,Ocean,GB
,Tems Port,THP,Ocean,GB
,Tilbury,TIL,Ocean,GB
,Tyne,TYN,Ocean,GB
,Takoradi,TKD,Ocean,GH
,Tema,TEM,Ocean,GH
,Gibraltar,GIB,Ocean,GI
,Banjul,BJL,Ocean,GM
,Conakry,CKY,Ocean,GN
,Pointe A Pitre,PTP,Ocean,GP
,Ast,AST,Ocean,GR
,Athens,ATH,Ocean,GR
,Her,HER,Ocean,GR
,Piraeus,PIR,Ocean,GR
,Thessaloniki,SKG,Ocean,GR
,Pueroto-Quetzal,PTQ,Ocean,GT
,Puerto Quetzal,PRQ,Ocean,GT
,San Jose,SNJ,Ocean,GT
,Guam,GUM,Ocean,GU
,Georgetown,GEO,Ocean,GY
,Hongkong,HKM,Ocean,HK
,Hongkong,HIT,Ocean,HK
,Hongkong,HKG,Ocean,HK
,Hongkong,KWN,Ocean,HK
,Amapala,AMP,Ocean,HN
,Puerto Cortes,PCR,Ocean,HN
,San Lorenzo,SLO,Ocean,HN
,Rijeka,RJK,Ocean,HR
,Port Au Prince,PAP,Ocean,HT
,Balikpapan,BPN,Ocean,ID
,Belawan,BLW,Ocean,ID
,Dumai,DUM,Ocean,ID
