id,name,port_code,shipment_type_name,country_country_code
3500,Agana Nas,NGM,Air,GU
3501,Anderson AFB,UAM,Air,GU
3502,Osvaldo Vieira,OXB,Air,GW
3503,Bubaque,BQE,Air,GW
3504,Buochs,BXO,Air,GW
3505,Aishalton,AHL,Air,GY
3506,Annai,NAI,Air,GY
3507,Baramita,BMJ,Air,GY
3508,Bartica,GFO,Air,GY
3509,Bemichi,BCG,Air,GY
3510,Ekereku,EKE,Air,GY
3511,Imbaimadai,IMB,Air,GY
3512,Kaieteur,KAI,Air,GY
3513,Kamarang,KAR,Air,GY
3514,Karanambo,KRM,Air,GY
3515,Karasabai,KRG,Air,GY
3516,Kato,KTO,Air,GY
3517,Konawaruk,KKG,Air,GY
3518,Kurupung,KPG,Air,GY
3519,Lethem,LTM,Air,GY
3520,Lumid Pau,LUB,Air,GY
3521,Mabaruma,USI,Air,GY
3522,Mahdia,MHA,Air,GY
3523,Maikwak,VEG,Air,GY
3524,Matthews Ridge,MWJ,Air,GY
3525,Monkey Mountain,MYM,Air,GY
3526,Ogle,OGL,Air,GY
3527,Orinduik,ORJ,Air,GY
3528,Paramakotoi,PMT,Air,GY
3529,Paruima,PRR,Air,GY
3530,Pipillipai,PIQ,Air,GY
3531,Port Kaituma,PKM,Air,GY
3532,Sandcreek,SDC,Air,GY
3533,Skeldon,SKM,Air,GY
3534,Hong Kong International,HKG,Air,HK
3535,Off Line Point,ZJK,Air,HK
3536,H K Heliport,HHP,Air,HK
3537,Kwun Tong,KTZ,Air,HK
3538,Shek Mum,QDM,Air,HK
3539,Ahuas,AHS,Air,HN
3540,Brus Laguna,BHG,Air,HN
3541,Catacamas,CAA,Air,HN
3542,Cauquira,CDD,Air,HN
3543,Palmerola Air Base,XPL,Air,HN
3544,Copan,RUY,Air,HN
3545,Coronel E Soto Cano AB,ENQ,Air,HN
3546,Coyoles,CYL,Air,HN
3547,Erandique,EDQ,Air,HN
3548,Gracias,GAC,Air,HN
3549,Gualaco,GUO,Air,HN
3550,Guanaja,GJA,Air,HN
3551,Iriona,IRN,Air,HN
3552,Juticalpa,JUT,Air,HN
3553,Goloson International,LCE,Air,HN
3554,La Esperanza,LEZ,Air,HN
3555,La Union,LUI,Air,HN
3556,Las Limas,LLH,Air,HN
3557,Limon,LMH,Air,HN
3558,Marcala,MRJ,Air,HN
3559,Olanchito,OAN,Air,HN
3560,Palacios,PCH,Air,HN
3561,Puerto Lempira,PEU,Air,HN
3562,Roatan,RTB,Air,HN
3563,San Esteban,SET,Air,HN
3564,Ramon Villeda Morales,SAP,Air,HN
3565,Santa Rosa Copan,SDH,Air,HN
3566,Sulaco,SCD,Air,HN
3567,Toncontin,TGU,Air,HN
3568,Tela,TEA,Air,HN
3569,Tocoa,TCF,Air,HN
3570,Capiro,TJI,Air,HN
3571,Utila,UII,Air,HN
3572,Victoria,VTA,Air,HN
3573,Yoro,ORO,Air,HN
3574,Bol,BWK,Air,HR
3575,Dubrovnik,DBV,Air,HR
3576,Losinj Arpt,LSZ,Air,HR
3577,Osijek,OSI,Air,HR
3578,Pula,PUY,Air,HR
3579,Rijeka,RJK,Air,HR
3580,Split,SPU,Air,HR
3581,Zadar,ZAD,Air,HR
3582,Pleso,ZAG,Air,HR
3583,Cap Haitien,CAP,Air,HT
3584,Jacmel,JAK,Air,HT
3585,Jeremie,JEE,Air,HT
3586,Les Cayes,CYA,Air,HT
3587,Mais Gate,PAP,Air,HT
3588,Port De Paix,PAX,Air,HT
3589,Saarmelleek/Balaton,SOB,Air,HU
3590,Deli Railway,XXJ,Air,HU
3591,Ferihegy,BUD,Air,HU
3592,Keleti Railway,XXQ,Air,HU
3593,Debrecen,DEB,Air,HU
3594,Miskolc,MCQ,Air,HU
3595,Aek Godang,AEG,Air,ID
3596,Alor Island,ARD,Air,ID
3597,Amahai,AHI,Air,ID
3598,Pattimura,AMQ,Air,ID
3599,Anggi,AGD,Air,ID
3600,Apalapsili,AAS,Air,ID
3601,Arso,ARJ,Air,ID
3602,Gunung Batin,AKQ,Air,ID
3603,Atambua,ABU,Air,ID
3604,Atauro,AUT,Air,ID
3605,Ayawasi,AYW,Air,ID
3606,Babo,BXB,Air,ID
3607,Bade,BXD,Air,ID
3608,Bajawa,BJW,Air,ID
